Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000
500,1700,2900,3800,6000,7400,13700,13500,12700,13200,15800,18000,19900,20300,23700,25700,151600,29500,31900,33800,38400,37500,39600,43100,44200,46800,48300,50500,69300,54800,78600,60000,62100,63700,66500,68900,74600,74500,76300,98500,128400,85100,115700,86700,89900,95200,95100,98400,226000,103300,107200,106800,109100,111300,113900,116800,127100,121300,124600,127200,129000,132700,133200,135300,137700,140800,143300,146100,148500,150700,155300,156900,163000,161200,163300,153900,170600,174500,154200,177400,188500,163300,185400,181700,190200,193800,195000,203200,201300,206100,274100,210500,214200,212200,222300,219700,203500,204000,203500,231800
600,1600,2900,4100,6000,7500,8200,13500,12400,12500,16700,18200,19600,19400,23500,27200,30700,29600,31600,32500,42300,37800,40400,43200,39900,46800,47900,56400,79400,54900,56700,60000,61600,64100,77500,69000,72100,74500,75100,114700,116900,98500,116800,92300,90800,207600,87400,117300,117500,101500,105500,106800,101200,109300,113700,116600,149200,114300,124800,126500,128800,131700,133400,137300,125700,125800,144000,145700,148500,150800,137700,156800,162900,162300,165100,166800,169100,172100,174600,170100,205700,186100,185000,172400,188800,179100,194700,180700,201200,206900,268900,210400,213000,195500,215800,218500,224500,228000,229300,243900
600,1700,2900,4000,6100,7300,8200,13600,12400,12500,16100,17900,19800,21800,24000,22700,27900,31300,31700,33500,37200,37700,40300,42800,44100,46700,48400,50200,52600,54100,57200,59900,61900,63200,70000,69300,72500,74600,76900,108600,111300,87700,116900,86600,112100,128400,95600,97600,122700,101400,105400,112200,108300,111000,101400,117000,117400,121200,125800,126800,129000,132400,118900,201300,138500,141700,139500,146500,148300,142700,155700,156600,160300,161100,164200,166800,169500,174300,167500,177200,186600,167700,185800,193400,189100,177200,173800,198600,202100,204400,217200,211100,197100,219100,196400,219600,224000,226600,229400,235600
400,1600,2900,3900,5400,7500,8300,13300,12500,14500,16300,34400,20100,21500,23900,25400,27600,29100,31600,34000,37100,38000,40400,43100,44300,46700,48400,50600,52300,54700,57400,59800,65700,63900,67800,69000,72200,75300,76300,86300,112800,80000,115700,87200,112400,118100,94600,97700,117200,101700,106500,126400,109000,108700,113800,117300,121000,121700,135100,128700,129600,122800,134100,216500,139100,141500,143700,146400,148900,151900,138800,148600,161700,162000,164900,167200,151200,171900,175100,175800,179400,187000,186500,191000,167900,192400,194700,199000,180800,187300,208700,187000,209100,214700,221000,196200,212700,215300,229300,238400
600,1600,2900,4000,5300,7300,9000,13400,12500,14300,16400,17900,20000,22000,23900,25800,27500,29500,32000,33500,36000,37600,40600,45900,44500,46500,48200,53800,52600,54500,57700,60300,61900,63500,67500,68800,76600,74200,76700,88800,117600,83100,117200,117300,87200,142900,98200,97600,120800,101700,105600,139300,108900,99100,113200,121100,119000,121100,131900,127700,129200,131900,133100,139600,138000,142600,143300,132800,149200,151300,154200,156700,171200,156400,151100,167100,168100,172600,176600,176000,166200,187200,186300,191900,167200,169400,173800,197700,227800,179700,209000,201700,212800,214900,221800,214300,205900,226300,221900,230200
600,1800,2700,3700,5500,7100,8900,13300,12700,14500,16400,17900,19500,22500,23700,25700,39300,29500,31500,33000,36100,37500,40200,45300,44400,47000,48400,56300,53200,54200,57500,59800,61700,69700,76500,68700,83600,73900,75900,75700,115700,92100,117100,111000,91400,133000,96900,98800,120100,101900,105200,116100,108500,111200,113900,117400,119900,121100,125300,127600,129900,117600,132100,137300,138200,140900,144000,128000,145000,149600,153800,160000,161800,161100,164000,170800,169500,176900,176600,176600,163900,174200,189600,188700,187100,193300,194700,200500,272400,205400,208300,195100,213400,214700,221100,248600,224300,224900,231700,215600
500,1600,2900,3900,5300,7500,9200,13200,12400,14300,20600,17600,19800,22200,23700,25300,27600,30900,31300,33900,36500,37900,40500,49100,44500,46300,47400,50300,53200,54600,58100,60200,61400,61400,67000,68400,99000,74400,76500,79600,117000,96800,130800,88000,91100,113700,96200,89900,119500,102000,98200,113500,108300,111500,113800,117400,111800,121300,124400,122100,119700,132300,132800,137800,138300,141100,142700,145300,148200,150700,154400,157700,162100,146500,164500,155100,169500,174300,175200,177200,167400,185000,187800,192800,189400,192400,195900,199200,334100,205700,219000,213100,213000,189600,224900,234200,210100,229500,229100,258700
600,1500,2700,4000,5300,7400,9200,13000,12600,14500,21200,17600,19500,21600,23700,25700,28000,29500,31300,34000,36300,37800,40300,49100,44200,50400,48500,50100,52700,54500,57300,55600,61300,63600,66800,68800,66400,74800,76200,79900,112700,84400,96800,89900,91300,122300,86600,98300,125700,101100,92200,108500,108900,111600,113100,116700,120000,121100,124600,126900,128000,131600,134000,148900,139100,142200,144400,146000,149200,149600,154200,158100,162000,161700,164300,154200,169400,172800,175400,162000,171200,221900,186500,191600,188400,193800,182700,199900,225100,205700,258800,209900,190800,206300,197300,240200,223600,225100,213700,216100
500,1600,2900,4000,5400,7400,9100,13200,12600,13200,20900,17500,19400,21500,21700,26000,30600,27400,31300,33500,36000,37800,40200,53000,43800,46500,48300,50900,52700,54400,59900,60000,61300,63500,60900,68800,71000,73800,76100,79200,127400,84000,88500,89900,91500,137200,97300,98500,120800,101600,99200,109500,108600,111500,113700,116600,123500,121900,124000,126700,128200,130900,132700,136200,130100,141700,129400,145700,148400,150200,155100,156800,162100,161400,162700,167200,173400,172100,160500,178100,180800,251900,186400,178900,189300,193400,195300,185700,204400,198100,268100,188600,214800,189800,221700,210600,209400,211900,232800,220800
500,1600,2900,3900,5200,7500,9300,13300,12300,12700,20300,17900,19400,21600,24100,25500,30500,29300,31700,33500,36700,38000,39700,48500,44500,46700,48700,50800,53300,54100,57300,60000,61700,64300,67600,68100,71700,74400,75600,78900,118000,85300,93900,96700,91300,111800,94700,98100,132000,99700,124100,97800,108800,111100,114100,116400,109100,120400,124100,128100,127400,130500,133300,136700,138100,142400,141400,146700,149100,152500,153200,158000,143200,160600,145000,167600,151300,173200,176700,177800,179300,192800,187000,190500,179000,192600,183400,176400,204100,204600,268500,208800,186400,218600,220200,204500,225000,224300,231500,229100
