Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000
300,800,1400,2200,3300,4300,6800,8000,8900,11000,14400,16500,22800,33300,44800,29100,30800,37100,42000,44300,50700,53000,60500,62000,73700,73000,78300,92900,86000,90800,112500,112900,118200,175400,137200,139400,145100,152000,169100,213700,262300,207900,205200,202000,406700,221000,250800,315500,246100,272800,298400,299900,350900,313400,317200,320500,349000,351800,361100,367900,388200,421400,426300,439400,424700,635900,471400,515800,480300,502500,507800,567400,564900,616000,576200,622200,642700,679000,657400,706600,694900,713100,756900,731400,763500,744600,791600,811100,751800,844700,835100,877500,932000,918200,927800,932300,1.12E+06,990400,1.09E+06,1.06E+06
300,700,1400,2400,3400,4900,5900,7900,9800,12200,12800,17600,23300,30300,40100,27300,30000,34800,38200,44200,53000,54600,68900,62800,66700,76400,77200,87600,93000,103000,144600,109700,114800,134900,129800,135600,143500,159000,151000,169200,218600,209600,199700,208000,354100,236200,253900,273400,250200,260700,317400,353100,377100,412500,316900,323400,342500,409400,374900,384900,377400,406000,442900,435200,455200,473300,453300,476800,619900,511400,540300,541300,534700,569800,583600,598000,631900,621800,676300,759600,658100,723200,736700,680200,730000,754900,804400,813900,828900,816900,884700,957500,903300,918400,1.15E+06,954700,980300,1.01E+06,1.09E+06,1.04E+06
300,700,1700,2500,3400,4800,5900,8000,9300,10900,14900,17100,22800,21400,41800,27200,35100,37200,37600,43100,51400,52900,52000,60600,73400,74800,95900,92000,94900,95400,155800,117000,121900,121200,123100,146200,142400,148100,174400,231800,213300,202900,213200,212900,410500,225700,260100,237800,248100,277500,440200,292800,332600,368200,319600,387800,535900,342500,364100,372300,392100,497400,424700,477000,435000,448800,447400,573600,495100,511800,531400,548900,577500,592600,572300,621600,631300,622300,678200,671600,677900,725500,772000,909400,757100,751100,788500,809200,799600,887800,879800,925900,923000,925800,946500,962600,1.10E+06,1.00E+06,1.01E+06,1.48E+06
200,800,1300,2000,3300,4300,6100,8500,9400,11600,15800,17400,23700,31500,43400,29700,30900,35700,39900,43900,46200,80900,56600,61700,69900,70100,79400,105700,86600,96200,103100,113100,113200,122300,130400,140900,135600,234700,176100,172200,198700,203700,233400,209400,388600,264300,243600,246500,256900,271000,518500,292500,304100,323600,309400,426000,367300,350700,382300,364200,385400,398200,414900,403600,414500,463900,447400,540600,466300,536100,536200,691200,575400,542500,577700,624700,639200,659300,685000,649300,727900,726100,735600,815200,779300,792200,780100,1.07E+06,847700,892800,850500,879800,907100,913400,945000,955300,1.05E+06,1.11E+06,1.01E+06,1.69E+06
200,700,1300,2500,3000,4800,6600,8000,9400,12800,15600,15000,23500,32200,42500,27500,31800,35800,53700,42600,50100,68600,55700,64400,64100,71400,76900,88900,92800,100000,96100,109400,115200,125500,126900,133100,139300,313000,160700,167300,170200,190400,201400,229700,374800,214700,249900,243000,254800,260800,293400,283600,303100,417000,314200,333300,373400,377800,386500,390700,385100,405400,416200,416100,488600,452100,497900,479900,506600,545800,520400,577700,557100,588800,586200,570500,620200,614800,635800,666100,825400,856500,736100,760400,793400,741400,808600,826600,887100,886000,890100,1.02E+06,897800,1.06E+06,923000,936100,973800,958700,1.03E+06,1.59E+06
400,800,1500,2400,3800,4900,6500,8100,9000,12600,14300,16800,36200,29400,44000,25500,32700,41300,62000,47600,49400,66700,57400,63500,69900,74400,83600,88000,88700,102200,104200,112600,114100,133200,132500,137700,139300,163800,167300,167700,175500,252000,190000,315800,327900,217100,268600,266300,251700,249600,294900,286700,299100,530000,318500,357100,340800,352800,375100,371400,403600,516000,430000,413400,458500,476700,471300,483100,522100,480100,524500,557400,548800,567900,572500,612400,615000,612400,644000,657800,703000,689700,749700,757600,783500,767200,844000,834700,829600,892700,835300,853500,879300,959900,911500,1.20E+06,987600,958400,1.03E+06,1.12E+06
300,700,1300,2500,3700,4300,6300,8200,9200,11700,15200,18100,21600,32100,47500,29800,32800,36900,44600,39100,46900,58600,52600,66500,75400,74500,79500,93700,82800,98600,108200,105200,118100,118900,124000,132700,138000,246000,172400,172800,190600,198500,201700,329100,334300,219700,334800,238700,253600,252800,281100,285300,300500,350700,318700,400200,362000,373300,377100,392200,401500,398900,415400,412000,463000,461100,464300,489000,500700,511500,560800,564600,548500,576200,747300,635200,600700,627400,648800,657500,703300,668900,790300,746500,756400,773500,1.07E+06,797400,811400,865900,879500,895200,920600,941500,954100,1.74E+06,1.00E+06,1.01E+06,980700,1.13E+06
300,700,1400,2000,3200,4600,6100,7700,10400,11200,14300,17600,22000,26700,42000,28400,33400,36100,76900,42500,47500,69700,58600,60200,66500,75100,79100,86800,91100,100200,108800,106000,117200,138900,142200,134900,143100,152600,165200,169500,196300,182500,201000,303800,354000,231100,433800,281000,257700,258000,280700,297200,283900,375700,338500,441000,347300,368300,358700,370600,395400,385400,411200,440900,442000,472800,464200,494700,517100,504900,525200,564700,551000,559900,596800,617100,607800,624600,644200,664800,840100,729900,950000,751900,835000,776700,817400,814500,857600,904000,867900,899200,935100,968000,941100,1.78E+06,935500,988900,986700,1.08E+06
200,700,1600,2400,3400,4800,6900,8400,10600,11300,14500,17700,20800,42900,45300,28700,31300,35800,41100,43200,51500,60700,54400,61300,68800,70900,71800,93400,93100,102600,107200,113800,117800,122800,157700,138900,150100,159200,153300,166500,177300,238900,207800,226400,326100,235000,289900,228200,243400,287800,294700,285900,303800,299000,316500,368400,446700,375700,357100,364900,412500,423000,434800,417000,441700,449600,480100,499900,546100,505600,528600,593000,548300,589900,585200,606900,630000,612800,664400,703900,734100,699500,756900,765400,762300,778200,793400,814600,797800,887100,868300,902100,843800,951000,902500,1.44E+06,977100,977900,1.06E+06,1.02E+06
200,800,1400,2200,3200,4500,6600,7400,10200,10900,14800,19200,18200,34200,43700,27900,31900,36200,36000,42000,50200,51500,56600,62900,68700,73200,78600,86000,92500,94900,104700,112900,127300,130600,121100,141600,134700,164600,172200,168000,179000,208200,187600,233100,430600,384100,304600,243400,247500,287400,260700,291700,286800,323100,322500,316900,482500,368700,379100,359000,384500,405600,430500,438300,466600,456000,483500,484900,485700,498000,525800,552600,553200,563400,606800,610200,612300,630000,667800,670100,747400,731900,744900,749800,777400,781600,791200,805500,787700,949300,1.10E+06,879200,908500,996500,998500,968700,991700,1.05E+06,1.25E+06,1.26E+06
