Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
216,595,941,1291,1778,1645,1947,2283,2469,2954,3108,3634,4040,4418,4601,4897,5546,5692,6169,6516,6789,7300,7531,7615,8305,8649,9023,9116,10059,10429,10707,11039,12025,12448,12640,12356,13456,14653,14770,14132,14545,15344,15248,15635,16090,16574,17011,17550,17493,18095,18667,21564,19744,19390,19561,20705,21318,21528,21562,22286,22889,23218,23268,24160,24505,24587,24589,26238,26281,26330,27130,27818,27554,28102,28960,30896,30753,29801,30377,30378,31161,32829,32736,34102,33252,34597,33480,36442,34283,35611,36816,36392,37219,38889,37444,37557,38218,38157,40094,40211,
208,578,868,1251,1783,1662,1826,2437,2595,5321,3232,3565,4107,4523,4714,5201,5215,5509,6334,6301,6896,7334,7768,8166,8254,8573,8853,9392,9973,10205,10023,10956,12601,46508,12518,12583,13155,14469,15041,14124,35241,14759,15248,18478,16208,16936,17037,17229,18319,18108,18151,20550,18947,19611,20431,20973,20813,21691,21581,22648,22911,23263,27112,24243,24594,24968,24634,25153,26020,26667,26811,27268,27500,28946,28538,30945,31724,30564,30267,30373,30992,32661,32586,33965,32511,34603,33895,33399,34151,36565,36817,37072,37471,38687,37662,37874,38357,38008,39883,40288,
200,585,788,1134,1804,1628,2054,2120,2499,3155,3093,3605,4342,4311,4673,4896,5043,5692,6235,6401,6678,7862,7742,7983,8057,8675,8912,9295,9841,10369,10633,10980,12175,12395,12257,12393,12920,14660,14891,14482,15827,14899,15921,15735,16301,22186,17140,17738,18030,18227,18389,20989,19441,19352,20372,20557,21001,21355,22103,22645,23032,22714,23590,23794,24888,24910,25283,25684,25843,26746,27236,27494,28034,27868,28598,30103,30719,30155,29921,30202,30933,32930,32909,33428,33492,34406,33672,33822,54292,35598,37082,36398,37666,38538,37875,38253,39339,38396,39417,40814,
222,601,936,1355,1741,1504,1906,2265,2664,21576,3246,3498,4197,4265,4584,5000,5181,5720,6091,6242,7206,8747,7450,8028,8215,8743,9093,9205,9583,12619,10600,10687,11738,12932,12560,12453,13043,27196,15788,13946,28477,14926,15404,56271,16362,43236,16757,17726,17781,18050,18465,20462,18880,19601,20281,20327,20987,21734,22325,22044,22342,22789,23299,24071,24412,24226,25292,25540,26142,26213,27145,27233,27865,28330,28513,30863,31192,31199,30423,30552,31385,33264,32970,36033,33025,34032,33795,33737,50132,36218,36778,36806,36663,38165,38142,37773,39142,38396,39521,40491,
204,630,998,1223,6042,1622,1781,2376,2503,3175,3196,3581,4193,4074,4612,4785,5519,5651,5594,6371,6839,6843,7621,7793,8322,8587,8995,9412,9941,9885,10477,10985,12295,12594,12363,12658,17439,13350,14646,14324,14418,14712,15441,15253,16087,17975,17090,17402,17815,18281,18125,20259,19079,19638,20497,20357,20592,22134,21990,22221,22379,23338,59870,24000,24279,24822,27251,26002,25755,26378,49785,27474,28158,28076,28613,30920,31173,31174,29784,30380,31321,31739,32175,54873,32467,34541,33663,34419,34699,38188,36485,36712,37113,38338,38099,37523,38919,38108,42457,39879,
174,639,917,1373,1484,1612,1879,2423,2589,3474,3188,3450,4235,4059,4518,5009,5113,5781,6177,6198,6770,7025,7478,8241,8123,8557,8988,9400,9743,10202,10630,10860,12246,12513,11845,12551,12781,13549,14898,14209,14688,14639,15277,15325,15893,32815,16787,17304,18327,18463,18397,20218,19579,19164,20016,20660,20852,21879,21787,22339,23049,23255,23554,23591,24216,24808,51047,25863,26370,25697,41538,27623,27780,28413,28459,30721,31451,30461,30292,30915,30859,32478,32936,46833,32992,34478,33611,34108,34779,35528,36039,37101,38009,38449,38166,38177,39253,38327,80710,39840,
211,602,956,1373,1560,1626,1998,2283,2584,3305,3299,3827,4043,4175,4802,5035,5267,5824,6026,6467,6646,7137,7876,7787,8352,8715,8830,9552,9793,9863,10349,10648,12234,25296,12213,12717,13018,13402,15145,14190,14203,14885,15379,15756,16227,16831,16971,17599,18220,18313,18366,20843,19677,20016,20020,45199,21123,21677,21546,22083,22550,23138,23704,23968,24347,24707,37999,25624,26212,26730,26511,26971,27387,28161,28803,30609,31801,30919,30564,30523,31265,32765,33182,33162,32321,34330,33498,34586,34772,35575,36209,35741,37333,38530,38303,37211,38477,38349,39758,39906,
200,517,904,1369,1523,1610,2025,2262,6320,3136,3352,3496,4214,4441,4649,4844,5320,5858,6077,6158,6770,7216,7578,8074,8541,8621,9113,9610,9649,10007,10535,10730,12464,12077,12347,12591,12746,13536,14756,14285,14676,14655,15111,15873,16044,16715,17036,17381,17983,17800,18671,20913,19317,19470,20357,37677,20793,21747,21457,21876,22966,23194,23102,26535,24125,24672,25337,25113,26333,26258,27131,27159,27332,28508,28329,30633,30347,30421,30158,30693,31465,31990,32323,32139,32859,34299,33694,33966,69917,35881,36116,36716,37041,38223,38237,41308,39108,38465,39770,42362,
378,570,977,1289,1571,1710,1848,2318,2545,3243,3304,3530,4130,4330,4621,5117,5365,5702,6138,6767,6672,9238,7649,7725,8237,8436,9030,9554,9466,10340,10677,10594,12718,14682,12545,12402,12660,13489,15118,14448,14395,15227,15497,15803,16037,16491,17102,17495,17980,17794,18446,21078,19861,19662,20273,21003,21124,21286,21646,21873,22733,23476,23036,53518,24700,24511,25095,25380,25814,25850,27063,27502,27649,27838,28222,30755,31026,30548,30527,30514,31599,32495,32410,32770,33079,35188,61912,33887,34856,35891,36092,36452,36766,37949,37936,37626,38817,38425,40193,40280,
243,501,1026,1176,1664,1660,1885,2353,20685,3144,3310,3747,4452,4210,4574,5079,5519,5599,5947,6441,6839,7324,7414,8007,8026,8513,9079,9606,9688,10141,10198,10546,12249,11631,12285,12626,12715,13436,14557,14337,14130,14635,15107,15422,16288,16518,17290,17319,17815,18495,18527,20954,19585,19728,20548,20794,21288,21194,22054,22321,23063,22956,23678,40728,24597,25261,25431,25001,25725,26484,26787,27345,27379,27853,28495,30356,30406,30321,30137,30618,59455,32490,32873,32828,32337,34652,49689,34240,34019,36089,36216,37166,36964,38213,38124,37526,38423,37798,39939,40042,
