Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
145,384,640,769,1215,1448,1509,1966,2188,2326,2782,3234,3531,3835,4219,4547,5193,4875,5432,5435,6028,6200,6829,6508,6906,7497,7639,8064,8168,8580,8911,9527,9787,10107,9998,10764,10981,11092,11442,11793,12262,12518,12839,13282,13692,14297,13902,14438,14830,15533,15104,15683,16275,16190,16555,17055,18505,18788,20933,18547,18458,19279,19150,20019,19529,20212,22048,20922,20695,21097,21638,22360,23171,23135,22969,22779,23487,24190,27602,25266,25795,25553,26035,26139,27486,26820,26767,27715,27335,28192,28401,29304,29745,31615,30115,29752,31036,30600,31484,31936,
114,350,609,861,1203,1321,1692,1912,2121,2641,2789,3185,3472,3563,4317,4619,5183,4946,5148,5576,5914,6151,6503,6803,7166,7259,7536,8180,8677,8615,9326,9551,9587,9963,10413,10643,11484,11216,11684,12123,12577,12579,13600,12926,13895,13906,14200,16198,14201,14858,15073,15475,15694,16336,16361,16978,18694,19380,22775,18215,18169,18766,18913,19406,20339,20585,37809,25330,20935,21796,21946,22670,23727,22275,23441,23963,22936,24240,48761,24661,25305,25481,25813,25701,26809,26266,28593,28534,27996,27861,29043,27810,56552,30341,29722,30245,30299,30894,30968,31565,
126,345,619,872,1173,1556,1685,1845,2193,2529,2931,3199,3570,3561,4496,4770,5289,4905,5312,5674,5890,6277,6266,6930,7322,7597,7961,8130,8305,8691,8627,9056,12339,9976,10304,10539,11253,11380,11151,12186,11939,12716,12979,13224,13652,13457,14230,14383,16119,14487,15253,15745,16145,16462,16099,17121,18553,18738,33359,18133,17976,18809,19642,19126,19295,19643,20717,20831,21530,21293,21634,22365,21689,25415,23280,23065,23995,23105,38661,24618,25791,25356,26182,49758,27154,27196,27944,29945,27633,28235,28300,28843,46971,30601,29550,30216,31253,30657,30621,52155,
120,386,560,784,1222,1482,1658,1807,2227,2624,2768,3189,3566,3838,4533,4917,4922,4836,5499,5888,5993,6225,6492,6768,6981,7229,7994,8170,8724,8597,8846,9893,9526,9906,10221,10390,10701,11014,11707,12051,12571,13116,12846,13016,13614,14030,14258,14434,14644,15365,15853,15528,16200,15908,18649,16447,19034,19271,17771,18560,18085,18478,19368,19199,19528,20720,39877,21099,21435,21001,21706,22965,22730,22174,23077,22902,23938,23744,24059,24419,26024,25137,26111,40316,27373,26494,50985,28275,28429,28494,200444,31540,29478,32023,29965,29828,29514,32409,61021,49779,
166,375,596,780,1118,1441,1622,1842,2233,2465,2768,3148,3454,3651,4376,4678,4802,5199,5428,5332,5939,7648,6499,6780,7368,7412,7958,8171,8524,8909,9060,9522,9494,10054,10557,10717,10994,11372,11677,12283,12004,12498,12767,13305,13298,13918,14036,14334,14501,15457,15339,15916,16340,16677,16716,17503,18860,18738,17560,18051,19261,19193,19350,19525,19733,20067,22280,20884,21042,20720,21401,22053,24474,22568,23487,50023,23714,24830,24683,24164,25377,28759,25873,25751,29713,52324,42951,27807,28144,27682,28680,59498,28940,29673,29477,29521,30748,31089,48254,30998,
150,370,565,858,1146,1426,1667,1881,2207,2416,2822,2983,3512,3744,4441,4590,4979,4935,5182,5784,5674,7525,6459,7048,7230,7539,7920,7904,8158,9028,9099,9309,9821,9693,10783,10565,11201,11381,11379,11813,12044,12405,12555,13060,13344,13732,14168,13928,15093,15229,15237,15671,15445,16292,17146,36153,18687,19360,17783,18361,18796,18768,19772,19410,20415,19857,22607,21094,21025,21673,21987,22046,22399,22411,24029,24627,24116,24438,24011,24676,24788,55252,25689,26777,27292,42261,27233,28168,27846,28207,28869,46606,28992,30650,29443,30742,30857,31190,29879,32315,
129,398,564,833,1179,1340,1750,1958,2125,2508,2947,3191,3513,3630,4405,4422,4839,4899,5153,5560,5970,6644,6900,7028,7171,7460,7562,8069,8427,8974,8709,9614,9948,10304,10497,10509,11006,11239,11409,12170,12496,12686,12775,13202,13523,13672,13998,14326,14402,15225,15153,14564,16032,16673,16442,18150,18987,19143,17889,18751,19272,18817,38106,19354,19883,38957,34502,20178,21072,21547,21203,58219,21689,23078,24328,40601,24048,23979,24408,25146,26415,56385,26261,25726,26850,26829,27652,28150,28181,51504,28217,29172,28351,30339,29847,29154,30406,31604,31360,30663,
136,377,589,901,1190,1415,1701,1837,2181,2502,2916,3169,3406,3684,4321,4829,5022,4977,7889,5552,5876,6181,6331,7074,7214,7662,7587,7997,8360,9156,9178,9209,9541,10110,10442,10641,10906,11173,11216,11768,11721,12313,13141,13377,13295,14072,13641,14699,14263,15521,15402,15728,15997,16356,17154,20460,18438,19139,18335,18304,18832,18473,21136,19679,19660,22002,20100,20867,21458,22249,21783,24541,51945,22253,23016,23748,23791,23698,38409,24797,24906,41101,26324,26466,27257,26434,27415,28264,48584,42340,27705,28666,29866,78747,30195,33182,29760,31340,31047,31700,
151,321,550,900,1230,1272,1595,1897,2178,2626,2709,2884,3365,3643,4320,4915,21676,5178,23160,5579,5701,6173,6458,6694,7199,7561,7720,8192,10485,8743,9218,11776,9609,10042,10469,10930,10758,10947,11392,11529,12352,12059,12724,12587,13810,13715,14058,14635,14625,14767,15535,15438,16517,16570,16705,21686,18853,18635,17986,17920,18477,22201,32724,19497,19852,21270,20505,21375,20740,21733,22105,40555,25043,22705,22552,23077,23855,24389,25044,24643,25109,26220,24984,26535,27158,27199,27009,28392,26891,28692,27873,29583,29487,45509,29292,56387,30328,30777,30643,30954,
157,397,549,749,1193,1243,1659,1863,2254,2382,2818,3165,3363,3697,4340,4759,4709,4802,5781,5693,5783,6712,6633,6774,7394,7496,7552,8056,29070,9012,9326,30261,9713,12021,10101,10624,11001,11524,11871,11927,12300,12555,12996,13069,13191,13606,14302,14676,14735,15408,15121,16185,16042,16408,16552,22755,18930,19127,17628,18095,18866,38437,19162,20025,19471,36950,20254,20623,21014,48505,21701,46829,23975,22557,22704,23489,23911,23663,25101,24276,25098,25185,25390,27104,27237,26631,27154,27149,44042,27713,28011,29040,29090,29523,29665,54090,30476,31421,31459,32103,
