Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
151,215,357,548,726,898,1081,1464,1778,2077,2230,2827,3051,3360,3987,4485,4814,5172,5955,6963,7032,7281,8229,8252,9664,10469,10592,12141,12558,13154,13383,14764,15801,16764,30073,18544,19238,21847,21728,22874,23880,23190,24907,26881,56682,29651,30534,31024,34284,34706,34889,35455,60775,37424,39253,41502,42404,46150,46411,47537,49382,52805,54041,54664,55543,59734,73191,63126,79740,63711,65637,69019,68213,72772,72073,133998,114178,110544,80656,86172,94283,87998,90002,90551,132328,94788,173822,103028,146633,101818,108553,111931,107227,114766,120175,121172,127527,128520,129407,133819,
100,221,344,469,667,854,1034,1289,1606,2363,2161,2723,2957,3517,3894,4420,4718,5053,5773,6418,7126,7541,7515,8887,9391,9938,10332,11663,13261,13643,14166,15394,16026,17003,17326,18739,18974,21539,21348,22291,23038,23421,25537,49393,41767,30925,32207,31539,33004,34066,35793,35877,62611,38881,40952,42503,44789,45194,46501,48781,51139,52049,52796,53625,78856,96691,79861,67283,63249,65520,66584,68461,103401,73349,73089,81701,85145,87000,83214,81135,92782,87724,87151,92522,95088,96853,94991,99899,117121,132793,106816,110830,108388,111505,118343,119571,125696,132090,129982,144813,
110,213,347,525,748,853,1143,1370,1687,1981,2242,2820,3137,3599,3941,4290,4858,4650,5679,6236,6582,7464,8169,9064,9355,36019,11060,11611,12519,12642,13863,14643,15221,16497,17677,18866,19714,38434,21266,23391,22490,24654,26360,38920,27497,29193,30522,31180,34208,34650,35384,37768,47614,37438,41579,42169,43242,46034,47512,49610,48952,49354,52846,53153,61757,93172,68251,78143,61196,63548,68179,72347,71586,74998,73323,80030,84244,82874,81670,90933,98319,84350,93012,91298,93149,97223,117828,102929,100990,118426,107271,133524,112522,111487,160950,123362,137200,132333,127226,137256,
101,217,308,515,18999,865,1151,1414,1659,2113,2285,2558,2955,3505,3974,4238,4924,5415,5438,6141,6920,7373,7908,8579,9663,23162,10730,11023,12401,13205,12979,14862,16109,16723,17847,18383,19296,20042,20205,22608,22940,24502,25263,25317,27755,29275,30199,31555,33268,35444,35279,35253,44572,38350,41717,41643,44508,45894,46968,48217,47351,52984,52156,53904,63194,71188,77262,125575,62644,66775,67152,66439,67786,106944,74384,82884,81458,116568,78844,84055,101095,88411,88110,131065,92722,95480,100465,99526,102346,105191,138466,130435,162776,153832,120715,121352,154061,129487,125510,177704,
121,194,341,497,761,866,1210,1425,1716,2090,2273,2716,2848,3412,3683,4275,4819,5543,5455,6409,6684,7317,8404,9306,9541,10318,10891,12258,11742,12903,13945,14114,14867,15340,17623,18941,17554,19974,21447,22245,23710,24618,26127,25869,28757,28800,30570,31764,35165,32858,35496,36328,48396,36947,40901,42168,43647,44645,45572,47072,51506,51268,52944,74372,58739,57649,84440,98544,61631,63699,65539,69266,67996,72056,70233,79991,83257,81714,83455,84667,106552,129784,115398,105474,91749,145172,100718,146638,104968,122837,144066,124522,112295,112593,126893,126137,174675,130080,141823,138440,
110,183,355,498,789,928,1117,1379,1908,2135,2538,2733,3070,3122,3830,4376,4912,4891,6041,6014,6971,7522,7613,8324,9959,9772,11130,11318,12725,12855,14486,15154,14817,16819,17334,18144,18702,20725,21285,21527,23591,25578,25924,27031,28617,27605,30092,32807,34813,34478,35400,37092,44384,38362,42034,42437,44591,43044,45814,49102,47688,51523,53277,74682,62119,57851,91278,77335,63925,63508,65579,67534,70784,70624,94446,84221,87048,83354,82417,84688,94698,90651,113194,99162,136696,97410,105871,113122,104026,108948,108761,112659,117781,126579,122347,121886,124113,129556,310640,130862,
98,180,307,528,739,879,1180,1383,1617,2302,2181,2711,3088,3474,4002,4538,4838,5193,5634,6385,6851,7533,8179,8724,9829,10454,11255,11232,12186,13046,13821,15097,15746,16544,18537,17205,18241,21127,21276,22319,24099,24393,26569,26264,27750,29878,29437,31895,32820,33419,35163,37517,49015,38563,40960,40907,43023,46074,46034,49528,49373,52046,72993,58674,60017,56968,71682,62443,60483,64889,66320,66636,71262,129133,110978,85441,86992,84917,94471,82784,109206,88807,88944,96149,92483,97262,114641,108191,106192,107710,108430,116132,114288,121412,124270,119480,126136,150157,135366,137411,
108,190,348,547,716,858,1160,1407,1652,2320,2348,2703,3187,3455,3800,4441,5181,5274,6268,5999,7346,7427,8131,8569,9599,9724,13453,11542,11820,13595,14090,14823,14766,17448,16453,18922,18829,21446,21091,22883,23796,22540,26040,26725,27310,29918,30867,31206,32810,34139,36415,37006,44130,40920,39180,41059,43881,44957,49377,47828,51831,52736,64085,60904,65788,58054,65737,60727,64146,64944,69155,106066,69480,78638,89084,85698,85775,82037,82895,108152,113081,88760,91522,94970,95876,92966,132729,105014,104164,104438,108345,115229,119973,119553,120350,121692,128794,190328,137613,134999,
119,239,345,495,711,885,1181,1479,1663,2093,2346,2644,3112,3403,3769,4617,4512,5500,5629,6143,7001,7763,8182,9279,9458,10718,11151,11532,11515,13075,13016,14073,15521,15818,17047,17338,19065,21487,21133,22581,22735,24619,26254,25037,28270,29748,31563,30630,31209,33020,35871,37370,44102,38148,38622,43120,44302,44208,44637,47794,47187,51571,66664,58119,68598,59798,64530,63662,65797,64910,65492,68492,69649,75948,139363,81678,83788,80537,83597,91207,87923,88010,93888,100385,93664,118394,116907,105680,105534,109572,108683,113999,119635,115292,123712,133307,131360,143223,135459,140303,
113,228,348,508,764,938,1152,1370,1751,2168,2228,2771,3072,3340,4012,4142,4943,5005,5634,6284,6934,7237,7671,8578,9568,10125,11028,11708,12481,13064,14318,14373,15059,16545,17871,17753,44335,19571,21695,22619,22977,25722,24630,26388,28783,29047,29450,31732,32382,34134,36024,36792,50255,37659,40556,43924,43576,44167,46760,47469,49805,70675,65081,57211,56710,59185,64411,59641,99806,64935,64279,67842,66829,76056,73352,82281,84537,83683,120194,107704,162183,87679,95444,99161,90977,97157,100222,106577,105649,111025,111074,113994,115343,113612,125188,125709,126350,132697,130655,134100,
93,224,327,525,836,905,1112,1467,1654,2208,2245,2604,3021,3400,3852,4185,4862,5542,5877,6493,7064,7248,8341,8629,9068,10011,37419,11601,10923,12269,39420,43129,16058,40879,17417,17595,21884,19556,21036,22117,23280,24379,26832,26443,28469,30263,28439,30781,33084,35037,35246,37624,43492,41249,39643,42644,42719,44016,47082,47770,49527,57456,64931,58502,59942,58078,73749,60360,62404,64357,66170,69139,111461,75201,71203,82086,85766,82624,86282,145751,91023,88699,92713,95116,91915,98961,99282,104285,104897,151306,108511,112263,115474,116735,120532,125767,217917,133165,130727,183496,
102,196,315,504,792,876,1165,1362,1577,2224,2341,2733,3077,3243,3988,4369,4900,5175,5877,6203,6864,7161,7981,8846,9359,9908,11804,11872,12166,13450,14640,15631,15356,18114,16201,17800,34790,19651,20466,25822,27531,24193,24808,26477,27446,29335,30931,31502,33269,33476,35445,37425,49292,39805,41515,41195,41487,44421,45811,47079,50223,56231,75567,59033,59930,56381,76098,64604,63145,89072,69544,69881,128542,86389,73345,82637,85584,83119,84044,111337,144380,204948,92663,96576,109538,99207,126149,151426,114418,104759,111119,146261,160011,120436,119052,124650,149111,129233,161077,136016,
101,214,328,476,784,966,1192,1451,1739,2228,2273,2549,3211,3426,3968,4355,4597,5217,5973,6386,7119,7017,8467,8665,9603,9991,11626,11640,12344,12339,15401,15723,14751,29292,18323,19209,19145,20776,20941,22798,23020,23341,24792,27296,27173,29964,29783,30547,32348,32790,35265,36216,42832,41219,40090,41421,43325,46440,44306,46845,48475,53283,71565,58451,90713,56607,81237,60479,61098,82039,88127,65695,109494,72747,140415,81911,81376,83074,83694,147407,124562,92797,92504,93696,92474,102892,103093,102941,106388,118497,149020,116282,115435,115843,117737,123947,126860,151541,146373,132800,
98,223,349,534,753,922,1116,1489,1837,15737,2317,2667,3058,3531,3738,4365,4823,5410,5706,6199,7146,8344,7971,8645,8757,9808,23087,11632,11941,13743,31380,32366,15394,16512,16927,17933,19147,19321,20378,22394,22953,23686,23582,26007,27722,28839,28096,32138,31051,33516,34468,35573,42659,40923,40648,41145,44280,43595,48008,47667,68475,59234,63422,59578,61244,58117,107148,58386,62869,63750,79245,65564,102568,71193,91957,81388,104826,87421,85558,119975,83753,127734,93607,106639,94000,99890,107063,104808,114293,113494,123903,115713,119907,118925,118521,121878,125321,142416,133900,135849,
102,219,338,490,764,859,1130,1316,1638,2048,2320,2650,2918,3429,3988,4327,5050,5088,6061,6719,6650,7545,8384,8374,9583,10236,10901,11221,12258,12808,13482,14009,15333,15543,17448,18470,20565,22093,21477,22376,23204,24797,25760,26355,28232,29568,30441,31944,33106,34835,35057,37683,43459,39461,42397,41321,43384,45694,48382,46907,55194,70315,66311,57899,55997,60012,110009,63991,59576,65276,66021,92391,85588,76006,115624,80806,84257,99729,85529,88302,83876,109216,94999,100775,92904,138715,102229,105364,105298,109090,109960,116484,117467,129955,122640,124249,165708,135921,131022,149809,
122,195,370,497,721,867,1129,1398,1803,2057,2138,2825,3112,3425,3971,4516,4974,5077,5741,6415,7275,7539,28674,8818,9807,10538,11131,11718,12656,13714,13403,15064,16133,16504,17231,18333,18847,21384,22448,20251,23732,24417,25980,26067,27821,29206,29598,31621,32592,34809,34711,36498,47980,37046,43344,40963,43696,45902,46273,49452,61461,54468,65257,70251,57131,58490,148372,60058,104855,63863,62919,107733,68689,110062,73420,80629,79968,96941,79933,87083,85976,92516,94317,103772,131832,102726,99004,104605,111484,105653,113817,116281,115007,120103,119330,123627,128727,132014,133381,137577,
117,217,365,542,812,813,1053,1490,1636,2008,2242,2493,3158,3252,3775,4406,4904,5367,6045,6574,7043,7479,8890,8511,9490,10483,10816,11547,12223,13447,13916,14855,15423,16586,17272,18661,19036,19607,21902,22019,23915,24940,25160,27552,28273,30398,30087,30857,32596,33287,34299,35640,45423,39058,38415,43427,43991,43276,50713,46679,57737,53989,69854,77068,56997,80409,152535,59987,65219,64100,66913,84217,69942,71919,76778,85494,87836,81601,84642,85913,85313,93151,97808,101012,96991,103199,130047,107075,106981,106837,114425,117149,118778,120561,119062,140565,146032,131852,134029,140471,
110,206,346,492,744,840,1061,1454,1712,1992,2293,2556,2999,3555,3881,4262,4687,5182,5809,6369,6643,7433,8887,9208,9416,10478,10587,11242,12475,13015,13559,15352,15201,16923,17463,18389,19706,20021,22121,22382,23403,24383,25900,27568,27901,28093,29966,29967,32322,33021,34657,36029,48971,38524,41081,43676,43432,45033,45282,47120,59094,54568,78203,72059,56198,74919,114075,62719,62385,62690,104270,101109,66330,72736,73786,127852,83982,82818,92619,84426,100126,90314,93809,100781,97343,104678,117001,105388,108928,108511,114399,114150,116266,116923,144645,130406,133954,134467,153150,142823,
