Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
184,492,993,1524,2116,3028,3802,5323,5866,7806,7800,9210,12326,12121,13349,15152,19289,21764,20603,22434,24793,29189,33674,31019,33908,35257,38516,47143,44138,46005,49196,52554,55364,58343,61994,76327,102175,97166,75112,78043,82039,99952,91045,95235,99594,102996,123934,110636,177670,138661,143841,131615,134019,160332,189495,172876,194610,184204,190107,197658,196971,249763,248386,192455,197880,216226,242534,219730,264455,233761,276481,284066,293838,319388,306871,323930,324641,340231,296320,349297,358230,374654,363933,393774,392195,411675,362591,428435,440097,451297,458597,403387,489948,488729,548767,497913,445094,442920,542843,524493,
210,531,1089,1638,2143,2913,3747,5572,5825,7592,8013,9189,12129,11919,13281,15265,19148,20973,20400,22680,24673,26688,34019,31494,33269,36029,39014,47531,43629,46782,49704,52311,56251,59236,71538,65745,83190,83319,75467,78750,82658,100225,89842,95740,99691,101192,166392,109020,114919,139181,144678,130532,132950,161313,166182,171349,178488,183531,189528,197064,215364,210137,215283,193739,196694,202509,242294,214281,270013,233909,277238,297447,293151,313598,317707,324024,279004,340553,291081,349933,355423,375070,423520,405591,435510,411543,363868,431091,438355,447804,459704,421958,472176,488983,485743,496039,488460,525614,536774,476666,
201,560,965,1511,2252,2957,3672,5227,5613,6544,7854,9524,11956,11966,13807,15352,19316,21272,20732,22791,24510,31490,33692,31258,34194,35123,38645,47042,44124,46223,53148,51943,55514,58931,72013,65124,85737,115326,74232,79203,82792,99814,91803,94505,98609,109428,122990,109207,115950,138444,144939,128206,311252,197096,165632,172152,175807,184416,189777,179266,202295,209604,215666,190360,198378,202543,242228,216819,257538,243034,277788,264190,293062,301590,315740,324207,283297,300487,292852,302815,381504,375130,375941,367441,391529,412551,361108,430147,438453,450208,458545,468969,410165,488818,531163,495091,441288,516849,464113,541021,
251,495,1079,1546,2241,2846,3819,5545,5611,6858,7912,9441,11945,12356,13751,15116,19135,21384,20510,22670,24295,31888,30914,31286,39660,36105,37879,47565,43637,46858,57470,51829,55132,58576,71205,82275,85000,82748,74899,127643,82963,99401,90108,95608,99842,119270,155886,107699,114098,191786,196483,130267,156634,161034,166905,170889,153465,183152,193171,169940,222959,208962,215506,190635,195485,202316,287865,213765,258455,223826,276491,260960,292745,301324,330575,323876,341528,338875,296067,298983,366920,376858,373786,333004,413295,411287,358192,432033,466735,430142,460043,469636,409588,489706,487242,496146,442387,517866,468379,564156,
326,534,1145,1661,2176,2853,3739,6343,5675,7082,8005,9328,12126,12023,13825,15193,19556,21326,20801,22693,24033,32150,34238,31358,38372,35306,38625,47768,43972,46050,57527,52066,55060,58979,71921,72735,83987,83117,76379,79375,83100,99150,91204,94157,97777,119509,123969,125856,116912,139630,144164,127991,155395,160749,167289,152516,153026,207034,191503,170737,203150,211725,238351,200547,200026,203158,242674,217329,257478,225409,239853,253941,294312,300715,308129,322917,333631,331166,339842,304049,376474,374442,376177,332564,404095,410547,415604,476566,459116,399993,460392,468753,460981,482641,489248,474552,447438,518203,466308,524317,
274,513,1014,1570,2235,2764,4085,5856,5865,6755,8027,9386,12143,11986,13817,15274,19524,21901,20708,23045,24426,30182,34476,30816,38526,35500,39399,46991,43344,49456,56793,53273,58973,59630,71104,70537,84883,83011,75131,79348,83302,100567,90115,94252,100474,118982,124168,128462,115413,139058,145159,135388,155990,161237,148114,225529,152796,183624,190221,169413,238501,209581,228944,221288,197603,205442,241448,212585,255466,231179,241719,285092,292792,301838,309545,323727,333538,332581,348911,347723,359018,375003,374276,347431,410950,389437,421072,408860,429114,453947,459983,468160,478582,420865,486522,447110,458760,517750,459318,472179,
196,559,1070,1420,2116,2803,3844,5666,5622,6708,8149,9420,12407,11894,13431,15219,19341,21697,20557,22557,24052,53004,33913,31588,38598,36836,38608,47108,43757,53809,57252,53195,54766,58780,71715,70084,85148,83093,75720,80536,83875,138357,90406,97099,99587,118892,123337,128977,116773,138548,122362,129721,154772,161293,206952,148681,154935,183352,191065,170609,202640,208792,215186,222538,195617,205914,242026,213453,256713,262768,240857,295323,293307,300680,308953,326717,338621,333876,348651,349451,357062,375635,374804,383806,372637,355347,422550,408419,469688,462074,459493,404979,479797,417443,438661,494616,434471,516231,459871,514072,
286,466,1039,1531,2090,2753,3853,5816,5631,7704,7731,9188,12134,11766,14171,15342,19564,21419,20390,22479,25051,44946,32530,31876,38615,35584,40287,47167,44443,47217,57091,52639,54467,58976,72243,70511,98247,83402,78469,79985,83358,100889,145307,94128,99677,118968,122551,129478,116326,139557,121351,127335,157189,161149,152730,151342,154138,183292,189765,168361,203129,208149,215610,221454,197737,203956,285556,214072,258653,232109,271175,293632,253596,300936,307993,323763,323675,332503,341102,371068,358426,375963,375338,401065,334094,356133,420238,408331,429657,451176,461726,405814,479474,464447,420947,523328,436620,517123,463763,506051,
223,606,1023,1576,2199,2930,3894,5511,5769,6704,7901,9254,11928,12146,13759,15582,19165,21518,20569,22693,24808,33098,31806,30840,39378,36676,38573,47202,43903,46618,56663,51978,54679,58893,71454,79323,103815,83739,114926,80015,82559,85311,91261,94241,99017,118739,123951,128184,160821,138964,122555,129321,155247,163191,166528,174528,154896,184469,193549,233732,202600,208043,215509,221239,200461,203203,241246,214313,217544,235223,277645,306438,253186,301548,307813,361117,324178,332863,295181,357726,357134,375028,375798,394597,391757,356133,421239,445089,426705,448206,459232,443278,478363,486298,450950,531032,445143,434041,463054,476334,
277,532,1090,1504,2203,2925,3783,5308,5691,6704,8301,8923,12192,12242,13468,15444,19353,21346,20361,22654,24368,26736,29379,31891,38102,36340,38816,47449,44813,46397,56843,52543,55078,58326,71780,81398,100420,83220,96349,80158,96050,84427,90641,97255,98951,118829,124789,129013,133442,166028,124213,128053,156142,160767,166930,170533,172754,185498,189932,196917,203662,211644,245476,224674,197716,202611,242903,217194,215586,234079,277237,298089,250551,299910,301970,325201,287155,296055,296149,357490,356900,376132,374183,405972,404314,350108,418974,408813,429428,452141,459967,469194,478233,489848,438954,508462,448051,468180,461650,474318,
