Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
434,1436,1780,2267,18701,3324,7821,4538,5346,6154,6648,10746,14348,9959,10243,10312,10756,11407,12357,13188,13819,19139,16600,15849,16384,17625,18036,19215,19440,20249,21066,21631,22583,23067,23938,24768,25841,25967,27172,27955,29123,29240,29862,33679,31190,32263,33012,33623,34318,35330,36132,37236,37594,39123,40046,40132,40747,41464,42208,43379,43718,44940,45439,45583,49896,47986,49789,49222,51035,53149,52626,55358,54388,56652,55463,55317,58360,57616,60682,61484,61895,64066,63140,65693,63640,65998,71994,67659,68024,67959,70564,71338,70408,73222,74049,76122,75212,74041,76532,74697,
455,1078,1712,2129,4966,3254,7843,4569,5243,6070,6663,10324,14048,9637,10084,10105,10785,11359,12175,13207,14168,14384,16520,15982,16551,17536,18128,19007,19295,20409,21018,21594,22686,23137,23868,25069,25489,26297,27115,28002,31264,30444,30029,30575,31535,31974,33462,34546,34490,35250,36140,37446,38881,39048,40376,39937,40628,41455,42009,43373,43317,44290,45135,45926,47864,47673,49697,48764,50702,52886,53083,53936,54556,56800,56013,55217,57927,57991,60680,62385,61189,78218,61986,65201,64032,65360,68401,67724,67675,68846,69935,71059,84576,74283,75609,76449,74706,74358,76628,75344,
486,1045,1681,2182,4829,3373,7350,4550,5280,6208,6838,25038,14169,9496,26394,10212,10840,11249,12134,12889,13882,15648,16192,15855,16411,17199,21029,18855,19425,20679,21254,21501,22663,23137,23809,24913,25180,26196,27006,27757,28911,29746,30145,30753,30876,32488,33722,33706,35045,35455,36155,37190,38375,38374,39277,39777,41464,41266,42601,43781,43987,44542,45111,46766,48872,47862,49554,48977,50990,53442,52477,54873,53301,56588,55591,54894,57915,60132,60602,62793,60896,64980,62516,68025,63860,66147,68108,68704,67879,68658,72123,71558,71720,73465,74184,76664,75651,74486,77158,75831,
485,1056,1697,2134,4841,3380,5840,4558,5281,6140,6608,29385,14380,9489,9543,10203,10891,11346,12037,12871,13650,17503,16510,15755,16183,17313,18495,19047,19421,20473,21113,21700,22865,23231,26619,24610,25532,26112,27342,27800,28994,29735,30251,30610,31542,32238,33703,33582,34625,35391,36184,37248,38320,40952,39788,40584,41468,40844,42029,42913,43500,44461,46087,46127,47651,47681,49636,49259,51549,52892,52281,55082,54077,56464,58391,55423,58605,58429,60569,62104,61266,65350,63371,65496,64188,68211,68372,67967,67709,68138,70221,71710,72456,72613,73470,76310,76380,74576,76676,76376,
463,1083,1790,2116,4045,3378,5985,4567,5486,6086,6691,10078,14049,9506,9782,10225,10702,11352,12193,37285,13739,14191,16591,16180,16542,17278,18530,18955,19564,20851,21249,21654,22707,22896,23588,25024,25602,26151,27052,28067,28893,29659,30058,30967,31025,32284,33627,33690,34656,35213,35807,36910,38327,38849,39998,40705,41123,41839,42461,44000,43864,44293,45095,45370,48275,48220,49806,49228,51236,52680,53620,54899,54322,57098,56182,54425,58434,58946,60877,61740,61236,65354,62855,65390,64655,66003,69501,68011,68004,68895,69957,71335,72015,72932,74384,76821,77480,74526,77454,75517,
474,1086,1750,2123,3744,3440,6254,4784,5360,6135,6744,7928,14132,9544,9548,10091,10687,11465,12148,13869,13736,18988,16251,16111,16614,17627,18186,18684,19625,20599,21016,21461,22733,23053,23391,24800,28270,26204,26859,28139,28881,29777,30499,30884,31529,32487,33056,34138,34782,35222,36037,37442,38280,39230,39529,40675,41426,41717,42716,43567,43521,44511,45953,45945,47899,47260,49039,59384,51407,52953,52708,54680,54181,58320,70086,55069,58027,58704,63157,61353,74488,65193,62744,65562,64302,66167,68998,67892,67583,68402,70820,71521,71993,72632,73291,76313,75843,76514,76886,81422,
456,1091,1657,2150,3543,3419,7061,4651,5315,6023,6742,8029,13852,9381,9593,10015,10971,11701,12121,14179,13827,14049,16451,15868,16647,17492,18295,18934,19255,20821,20833,21634,22700,23410,23997,24463,25044,25974,27369,28748,28787,29558,30026,30495,31149,32294,33520,34040,34589,35184,36108,37085,38840,39115,39988,40881,40518,41620,42299,70646,43878,44543,45135,45773,47792,47461,49619,49178,51013,52752,52572,54783,54116,56565,56985,55348,58720,58493,60769,61862,63570,68091,102377,65662,66089,66229,69148,67925,67833,69225,70388,72021,72196,74821,73577,76484,75899,74669,76338,116875,
449,1250,1744,2164,3636,3271,6937,4545,5350,6074,6914,8093,13992,9594,9323,9967,10944,11499,12063,14118,13836,18534,16184,15903,16521,17330,18233,19597,19622,20880,21182,21566,22529,23182,23716,24580,25084,25905,27261,27904,29016,30135,29860,30833,31494,32463,32775,34018,35089,35016,36640,36920,38250,38577,39900,40581,40297,41692,42471,59258,43966,44778,44987,45931,47482,47305,49669,49216,50463,53280,53040,53983,54328,56078,57654,82501,58805,58061,61490,61594,62851,66366,62859,65432,64536,66105,69064,67948,68497,69411,70202,71568,72676,73605,73409,76417,75509,74352,77222,75116,
476,1010,1745,2099,3756,3397,7676,4570,5308,6177,6765,7845,14358,9663,9761,10277,205916,11605,12331,14176,14041,14536,16437,15667,16991,17950,18235,18894,19662,20341,20988,21838,22581,23141,23962,24599,25578,25942,27303,28015,28973,30172,29924,30830,30771,32390,32973,33980,34699,35812,35946,36907,37961,38932,39975,40798,40545,41727,42490,43277,43868,44637,45633,46391,48034,48171,48698,49546,51571,53044,52677,54969,54833,56223,56753,70170,58195,58566,60696,61724,63245,65570,63222,65349,64359,66032,69753,67364,67531,68006,70087,71613,71792,72661,74020,78166,75648,74860,77215,75709,
492,1022,1737,2107,3608,3370,7645,4620,5243,6217,6735,7881,14147,9455,9697,10254,11193,11522,12241,26599,13819,14818,16145,15980,16531,17286,18376,19002,19989,20483,21521,21767,22402,23568,24098,24946,25489,26260,27366,27999,29219,29999,30150,30936,31672,32417,33508,34247,34894,35609,35720,36902,37980,39115,39381,40379,40630,41056,42671,46539,43151,44462,45479,47878,48516,47883,50208,49376,51257,56619,52527,54817,56824,56353,57606,54813,58396,57958,61667,63474,63592,65118,62675,64897,63967,66323,68968,68539,67465,69214,70461,71583,72452,73210,74285,76203,75077,74048,77256,75880,
